Month,Electricity Generated (Gwh),,,,
Jan-09,3206.7,,,,
Feb-09,3034.9,,,,
Mar-09,3338.0,,,,
Apr-09,3390.6,,,,
May-09,3558.9,,,,
Jun-09,3571.6,,,,
Jul-09,3652.1,,,,
Aug-09,3656.8,,,,
Sep-09,3578.4,,,,
Oct-09,3711.3,,,,
Nov-09,3494.8,,,,
Dec-09,3606.5,,,,
Jan-10,3657.0,,,,
Feb-10,3373.6,,,,
Mar-10,3872.1,,,,
Apr-10,3800.1,,,,
May-10,3974.5,,,,
Jun-10,3740.3,,,,
Jul-10,3862.7,,,,
Aug-10,3857.2,,,,
Sep-10,3762.3,,,,
Oct-10,3928.9,,,,
Nov-10,3741.8,,,,
Dec-10,3796.0,,,,
Jan-11,3736.9,,,,
Feb-11,3366.1,,,,
Mar-11,3851.8,,,,
Apr-11,3768.2,,,,
May-11,4128.9,,,,
Jun-11,3965.2,,,,
Jul-11,4042.9,,,,
Aug-11,3935.7,,,,
Sep-11,3873.4,,,,
Oct-11,3840.0,,,,
Nov-11,3742.6,,,,
Dec-11,3747.7,,,,
Jan-12,3752.7,,,,
Feb-12,3655.8,,,,
Mar-12,3919.9,,,,
Apr-12,3850.4,,,,
May-12,4075.9,,,,
Jun-12,4005.9,,,,
Jul-12,4028.3,,,,
Aug-12,4040.9,,,,
Sep-12,3877.7,,,,
Oct-12,4040.1,,,,
Nov-12,3842.5,,,,
Dec-12,3846.1,,,,
Jan-13,3921.2,,,,
Feb-13,3445.1,,,,
Mar-13,4039.0,,,,
Apr-13,4030.8,,,,
May-13,4239.0,,,,
Jun-13,4043.6,,,,
Jul-13,4158.0,,,,
Aug-13,4162.5,,,,
Sep-13,3971.1,,,,
Oct-13,4082.9,,,,
Nov-13,3918.7,,,,
Dec-13,3951.6,,,,
Jan-14,3942.3,,,,
Feb-14,3667.9,,,,
Mar-14,4157.9,,,,
Apr-14,4081.8,,,,
May-14,4264.0,,,,
Jun-14,4201.0,,,,
Jul-14,4338.7,,,,
Aug-14,4212.2,,,,
Sep-14,4165.9,,,,
Oct-14,4251.2,,,,
Nov-14,3971.9,,,,
Dec-14,4054.9,,,,
Jan-15,4118.2,,,,
Feb-15,3666.9,,,,
Mar-15,4249.6,,,,
Apr-15,4173.8,,,,
May-15,4298.4,,,,
Jun-15,4210.3,,,,
Jul-15,4419.1,,,,
Aug-15,4304.7,,,,
Sep-15,4228.8,,,,
Oct-15,4389.8,,,,
Nov-15,4080.6,,,,
Dec-15,4131.4,,,,
Jan-16,"4,199.6",,,,
Feb-16,"3,849.2",,,,
Mar-16,4313.1,,,,
Apr-16,4304.4,,,,
May-16,4431.1,,,,
Jun-16,4261.5,,,,
Jul-16,4366.0,,,,
Aug-16,4477.0,,,,
Sep-16,4345.9,,,,
Oct-16,4439.7,,,,
Nov-16,4242.1,,,,
Dec-16,4357.0,,,,
Jan-17,4294.8,,,,
Feb-17,3892.2,,,,
Mar-17,4344.4,,,,
Apr-17,4187.0,,,,
May-17,4514.8,,,,
Jun-17,4385.4,,,,
Jul-17,4522.2,,,,
Aug-17,4555.1,,,,
Sep-17,4365.6,,,,
Oct-17,4504.5,,,,
Nov-17,4283.3,,,,
Dec-17,4376.5,,,,
Jan-18,4308.5,,,,
Feb-18,3923.2,,,,
Mar-18,4477.5,,,,
Apr-18,4381.8,,,,
May-18,4623.0,,,,
Jun-18,4445.9,,,,
Jul-18,4579.0,,,,
Aug-18,4583.9,,,,
Sep-18,4324.4,,,,
Oct-18,4535.3,,,,
Nov-18,4303.1,,,,
Dec-18,4419.2,,,,
Jan-19,4555.7,,,,
Feb-19,4034.3,,,,
Mar-19,4543.6,,,,
Apr-19,4495.5,,,,
May-19,4717.7,,,,
Jun-19,4437.8,,,,
Jul-19,4658.5,,,,
Aug-19,4694.4,,,,
Sep-19,4585.6,,,,
Oct-19,4565.1,,,,
Nov-19,4424.2,,,,
Dec-19,4429.9,,,,
Jan-20,4549.3,,,,
Feb-20,4329.1,,,,
Mar-20,4655.5,,,,
Apr-20,4239.0,,,,
May-20,4338.9,,,,
Jun-20,4287.0,,,,
Jul-20,4420.0,,,,
Aug-20,4476.5,,,,
Sep-20,4321.1,,,,
Oct-20,4537.7,,,,
Nov-20,4370.0,,,,
Dec-20,4547.5,,,,
Jan-21,4420.9,,,,
Feb-21,4113.0,,,,
Mar-21,4733.0,,,,
Apr-21,4632.5,,,,
May-21,4808.0,,,,
Jun-21,4714.8,,,,
Jul-21,4801.6,,,,
Aug-21,4719.8,,,,
Sep-21,4633.2,,,,
Oct-21,4825.3,,,,
Nov-21,4602.2,,,,
Dec-21,4783.9,,,,
Jan-22,4780.2,,,,
Feb-22,4287.3,,,,
Mar-22,4886.1,,,,
Apr-22,4716.2,,,,
May-22,4968.7,,,,
Jun-22,4738.8,,,,
Jul-22,4952.4,,,,
Aug-22,4921.3,,,,
Sep-22,4720.0,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
