Date,Steam Plant (%),Combined-Cycle Plants (%),Solar PV (%) ,Others (%)
31 Jan 2009,11.88,85.27,,2.86
28 Feb 2009,13.62,83.60,,2.77
31 Mar 2009,12.96,84.46,,2.58
30 Apr 2009,15.55,81.77,,2.68
31 May 2009,15.69,81.86,,2.44
30 Jun 2009,19.16,78.25,,2.59
31 Jul 2009,16.03,81.46,,2.51
31 Aug 2009,15.45,81.99,,2.56
30 Sep 2009,15.07,82.68,,2.25
31 Oct 2009,18.54,79.11,,2.35
30 Nov 2009,18.54,79.11,,2.35
31 Dec 2009,16.42,81.17,,2.41
31 Jan 2010,15.15,82.14,,2.71
28 Feb 2010,16.64,80.31,,3.05
31 Mar 2010,18.46,78.79,,2.75
30 Apr 2010,16.93,80.61,,2.46
31 May 2010,20.89,76.63,,2.48
30 Jun 2010,17.75,79.69,,2.56
31 Jul 2010,16.29,81.6,,2.11
31 Aug 2010,15.34,81.96,,2.7
30 Sep 2010,14.18,83.21,,2.61
31 Oct 2010,15.41,82.09,,2.50
30 Nov 2010,17.20,80.18,,2.63
31 Dec 2010,16.56,80.87,,2.57
31 Jan 2011,15.01,82.17,,2.82
28 Feb 2011,13.34,83.72,,2.94
31 Mar 2011,15.51,81.84,,2.65
30 Apr 2011,15.63,81.78,,2.59
31 May 2011,23.00,74.67,,2.33
30 Jun 2011,19.07,78.60,,2.33
31 Jul 2011,19.36,78.00,,2.63
31 Aug 2011,13.40,83.89,,2.71
30 Sep 2011,17.57,79.87,,2.56
31 Oct 2011,13.74,83.49,,2.77
30 Nov 2011,12.67,84.85,,2.48
31 Dec 2011,9.67,87.49,,2.84
31 Jan 2012,10.46,86.54,,3.00
29 Feb 2012,13.49,83.96,,2.55
31 Mar 2012,11.65,85.80,,2.55
30 Apr 2012,10.75,86.73,,2.52
31 May 2012,13.63,83.84,,2.53
30 Jun 2012,15.31,81.75,,2.94
31 Jul 2012,10.73,86.57,,2.70
31 Aug 2012,11.06,86.23,,2.71
30 Sep 2012,10.42,86.82,,2.76
31 Oct 2012,5.28,92.02,,2.70
30 Nov 2012,6.27,91.05,,2.68
31 Dec 2012,7.25,89.88,,2.87
31 Jan 2013,5.99,91.21,,2.80
