Date,Open,High,Low,Close
31/12/1987,824.4,824.4,810.9,823.2
31/1/1988,833.6,924.1,833.6,908.9
29/2/1988,892,901.7,851.8,888.8
31/3/1988,890.3,969.5,890.3,925.8
30/4/1988,926.8,965.4,926.8,965.4
31/5/1988,968.9,999.3,956,999.3
30/6/1988,1006.4,1093.2,1006.4,1093.2
31/7/1988,1105.4,1152.5,1079.4,1143.4
31/8/1988,1162.6,1177.9,1020.2,1036.6
30/9/1988,1031.8,1070,1022.3,1035
31/10/1988,1023.1,1044.5,993.2,1039.3
30/11/1988,1032.7,1032.7,991.2,1005.5
31/12/1988,1003.5,1044.2,993.2,1038.6
31/1/1989,1034.2,1134.8,1030.7,1133.3
28/2/1989,1137,1156.4,1108.3,1108.3
31/3/1989,1105.8,1194.6,1105.5,1189.8
30/4/1989,1187.3,1259.4,1186.7,1259.4
31/5/1989,1266,1310,1257.7,1279.2
30/6/1989,1305.2,1315.3,1207.1,1307.7
31/7/1989,1298.1,1372.3,1298.1,1372.3
31/8/1989,1367.1,1387,1342.5,1356
30/9/1989,1363.7,1420.5,1363.7,1375.3
31/10/1989,1388.3,1431.9,1285,1332.4
30/11/1989,1335.2,1411.3,1320.8,1411.3
31/12/1989,1408.5,1484.6,1408.5,1481.3
31/1/1990,1499.5,1569.5,1489.5,1515
28/2/1990,1528.8,1595.4,1506.6,1550.1
31/3/1990,1546.1,1607.1,1546.1,1581.1
30/4/1990,1549.2,1555.9,1458.4,1458.4
31/5/1990,1458.8,1578.6,1458.8,1553.6
30/6/1990,1555.8,1568.1,1522.6,1527
31/7/1990,1524.4,1575.9,1523.5,1554.8
31/8/1990,1557.8,1557.8,1127.9,1277.9
30/9/1990,1265.6,1265.6,1098.7,1098.7
31/10/1990,1103.4,1211,1079.5,1154
30/11/1990,1133.7,1133.7,1088.5,1106.6
31/12/1990,1125.6,1197.6,1121.3,1154.8
31/1/1991,1153.5,1267.3,1149.1,1267.3
28/2/1991,1267.7,1459.6,1267.7,1459.6
31/3/1991,1463,1512.9,1459.7,1490.8
30/4/1991,1480.5,1558.6,1460.2,1553.9
31/5/1991,1557.2,1557.2,1503.1,1554.2
30/6/1991,1565.6,1565.6,1489.9,1489.9
31/7/1991,1498.3,1511.7,1447.4,1482.9
31/8/1991,1482.6,1482.6,1309.2,1432.2
30/9/1991,1429,1429,1360.6,1360.6
31/10/1991,1357,1424.6,1336,1407.1
30/11/1991,1416.5,1491.4,1416.5,1453.2
31/12/1991,1439.1,1477,1422.7,1477
31/1/1992,1479.4,1545.9,1479.4,1529.7
29/2/1992,1526,1530.9,1471.9,1477.4
31/3/1992,1460.5,1466.1,1414.3,1414.3
30/4/1992,1394.1,1490.7,1352.8,1466
31/5/1992,1499,1528.2,1458.6,1524.7
30/6/1992,1510.5,1522.7,1476.2,1481.1
31/7/1992,1480.8,1496.9,1398,1451.8
31/8/1992,1449.9,1457.5,1269.4,1378.5
30/9/1992,1378.5,1390.3,1325.1,1351
31/10/1992,1351,1406.1,1326,1387
30/11/1992,1387,1475.1,1387,1469.1
31/12/1992,1470.4,1527,1425.4,1524.4
31/1/1993,1524.1,1621.4,1524.1,1620.2
28/2/1993,1620.4,1681,1610.1,1664.5
31/3/1993,1665.3,1675.2,1626.5,1668.3
30/4/1993,1668.6,1803.1,1661.7,1783.6
31/5/1993,1783.6,1911.1,1767,1894.4
30/6/1993,1895.3,1900.5,1722,1802.8
31/7/1993,1804.2,1826.2,1762.2,1809
31/8/1993,1810.4,2017.3,1806.9,2008.7
30/9/1993,2008.7,2055.6,1944.4,2009
31/10/1993,2015.3,2145.7,2000.4,2102.5
30/11/1993,2102.5,2141.6,2027.5,2096.1
31/12/1993,2095.3,2439.8,2087.7,2425.7
31/1/1994,2427.4,2482.9,2140,2339.1
28/2/1994,2338.7,2425.4,2289.7,2342.7
31/3/1994,2342.7,2351.6,1990.4,2080.9
30/4/1994,2080.9,2321,2037,2296.2
31/5/1994,2296.5,2362.7,2208,2281.7
30/6/1994,2280.2,2309.6,2197,2224.9
31/7/1994,2224.9,2231.7,2143.6,2206.4
31/8/1994,2208.4,2358.6,2208.4,2312.7
30/9/1994,2315.7,2362.2,2271.9,2332.6
31/10/1994,2334.4,2395.4,2297,2379
30/11/1994,2379,2379,2182.7,2242.1
31/12/1994,2242.1,2246.2,2078.3,2239.6
31/1/1995,2239.6,2248.2,1903.8,2083.4
28/2/1995,2083.4,2141,2021.9,2126.7
31/3/1995,2126.7,2143.8,2048.7,2093.1
30/4/1995,2093.1,2113.5,2029,2071.3
31/5/1995,2070.1,2210.4,2056.1,2178.4
30/6/1995,2179.7,2218.9,2063,2093.2
31/7/1995,2094.8,2190.8,2091.1,2156.4
31/8/1995,2160.2,2160.7,2045.1,2146.6
30/9/1995,2146.6,2147.5,2099.8,2120
31/10/1995,2120,2149.6,2087,2107.4
30/11/1995,2107.4,2128.1,2060.1,2128.1
31/12/1995,2126.6,2287.6,2116.6,2266.5
31/1/1996,2266.5,2449.2,2255.8,2449.2
29/2/1996,2451.9,2504,2400,2438.5
31/3/1996,2438.5,2438.5,2282.1,2387.3
30/4/1996,2387.3,2417,2360.3,2415.7
31/5/1996,2406.2,2417.4,2309.1,2332.9
30/6/1996,2332.4,2347.5,2267.6,2296.2
31/7/1996,2301.9,2301.9,2083.2,2111.8
31/8/1996,2111.8,2182.6,2092.7,2153.5
30/9/1996,2153.5,2208.3,2094.5,2177.2
31/10/1996,2175.7,2177.3,2035,2083.2
30/11/1996,2086.7,2221.2,2062.7,2188.1
31/12/1996,2190.3,2219.6,2154.5,2216.8
31/1/1997,2216.8,2278.9,2209.5,2216.5
28/2/1997,2214.9,2270.9,2190.5,2195.7
31/3/1997,2195.7,2202.9,2065.6,2073
30/4/1997,2072.5,2114.1,1981.9,2004.3
31/5/1997,2004.3,2118.8,2004.3,2065.5
30/6/1997,2065.3,2066.7,1968.7,1988
31/7/1997,1987.1,2009.6,1913.6,1967.1
31/8/1997,1966.4,1974.2,1735.7,1805.6
30/9/1997,1805.6,1954.7,1772.2,1954.7
31/10/1997,1954.8,1954.8,1486.7,1586.1
30/11/1997,1587.4,1768.5,1587.4,1660.6
31/12/1997,1665,1758.4,1509.3,1529.8
31/1/1998,1530.2,1531.3,1031.3,1259.9
28/2/1998,1264.7,1636.8,1264.7,1615.4
31/3/1998,1616,1700.5,1532.6,1629.2
30/4/1998,1629.5,1629.5,1449.72,1493.4
31/5/1998,1494.98,1497.97,1254.49,1254.93
30/6/1998,1254.05,1254.05,1031.61,1066.66
31/7/1998,1070.01,1137.55,1034.52,1064.2
31/8/1998,1064.2,1100.74,848.57,856.43
30/9/1998,826.93,964.08,800.27,939.65
31/10/1998,938.08,1215.76,881.62,1204.62
30/11/1998,1210.84,1438.85,1158.46,1416.55
31/12/1998,1408.18,1452.91,1318.44,1392.73
31/1/1999,1399.57,1581.1,1382.95,1428.14
28/2/1999,1427.35,1428.72,1280.33,1411.91
31/3/1999,1414.56,1526.88,1409.62,1518.31
30/4/1999,1519.58,1904.42,1513.54,1886.19
31/5/1999,1892.43,1995.16,1855.51,1903.86
30/6/1999,1909.97,2213.34,1902.82,2167.7
31/7/1999,2184.49,2247.43,1936.61,2145.77
31/8/1999,2147.31,2168.85,1968.23,2117.17
30/9/1999,2116.71,2157.09,1986.36,2021.93
31/10/1999,2021.14,2136.83,1978.76,2047.15
30/11/1999,2054.02,2276.69,2048.5,2237.13
31/12/1999,2233.22,2497,2197.89,2479.58
31/1/2000,2502.28,2582.94,2223.41,2230.28
29/2/2000,2241.78,2285.68,2055.34,2120.5
31/3/2000,2129.17,2234.65,2015.2,2132.59
30/4/2000,2135.76,2194.13,1981.29,2164.11
31/5/2000,2172.01,2186.88,1782.43,1795.13
30/6/2000,1809.73,2094.19,1809.07,2037.97
31/7/2000,2044.13,2158.94,2008.66,2051.21
31/8/2000,2058.53,2221.13,2043.76,2147.77
30/9/2000,2158.77,2195.51,1915.26,1997.03
31/10/2000,1970.93,2003.59,1796.66,1976.54
30/11/2000,2018.43,2069.47,1901.73,1952.23
31/12/2000,1923.01,2021.64,1891.74,1926.83
31/1/2001,1922.81,1991.29,1846.93,1991.29
28/2/2001,1984.43,2000.33,1912.14,1947.4
31/3/2001,1935.75,1935.76,1622.27,1674.19
30/4/2001,1666.9,1722.72,1558.04,1722.72
31/5/2001,1735.75,1754.35,1637.1,1657.05
30/6/2001,1663.48,1726.5,1645.47,1726.5
