year,month_in_yr,open,high,low,close,no_of_rainy_days,total_rainfall,mean_sunshine_hrs,mean_temp
1987,12,824.4,824.4,810.9,823.2,11,72.8,4.8,26.4
1988,1,833.6,924.1,833.6,908.9,15,237.5,5.9,26.8
1988,2,892.0,901.7,851.8,888.8,9,158.1,6.7,27.1
1988,3,890.3,969.5,890.3,925.8,15,186.8,5.2,27.3
1988,4,926.8,965.4,926.8,965.4,13,109.6,5.4,27.8
1988,5,968.9,999.3,956.0,999.3,14,229.6,5.6,28.4
1988,6,1006.4,1093.2,1006.4,1093.2,13,252.2,6.5,28.0
1988,7,1105.4,1152.5,1079.4,1143.4,15,305.4,6.0,27.3
1988,8,1162.6,1177.9,1020.2,1036.6,14,80.1,4.9,27.0
1988,9,1031.8,1070.0,1022.3,1035.0,14,440.4,4.8,27.1
1988,10,1023.1,1044.5,993.2,1039.3,17,134.6,4.1,27.5
1988,11,1032.7,1032.7,991.2,1005.5,23,401.4,3.7,26.3
1988,12,1003.5,1044.2,993.2,1038.6,11,62.9,5.7,26.2
1989,1,1034.2,1134.8,1030.7,1133.3,10,189.7,5.8,26.5
1989,2,1137.0,1156.4,1108.3,1108.3,3,52.4,6.7,26.6
1989,3,1105.8,1194.6,1105.5,1189.8,21,305.9,4.5,26.3
1989,4,1187.3,1259.4,1186.7,1259.4,17,198.6,5.7,27.0
1989,5,1266.0,1310.0,1257.7,1279.2,12,194.0,5.2,27.3
1989,6,1305.2,1315.3,1207.1,1307.7,12,117.6,6.0,27.5
1989,7,1298.1,1372.3,1298.1,1372.3,12,157.6,6.0,27.7
1989,8,1367.1,1387.0,1342.5,1356.0,18,201.0,5.3,27.1
1989,9,1363.7,1420.5,1363.7,1375.3,14,247.3,5.5,26.9
1989,10,1388.3,1431.9,1285.0,1332.4,16,111.0,5.5,27.1
1989,11,1335.2,1411.3,1320.8,1411.3,20,508.4,5.4,26.7
1989,12,1408.5,1484.6,1408.5,1481.3,18,179.7,4.8,26.3
1990,1,1499.5,1569.5,1489.5,1515.0,13,147.4,5.3,26.2
1990,2,1528.8,1595.4,1506.6,1550.1,8,24.1,8.9,27.6
1990,3,1546.1,1607.1,1546.1,1581.1,4,94.2,8.3,28.2
1990,4,1549.2,1555.9,1458.4,1458.4,10,52.4,6.3,28.5
1990,5,1458.8,1578.6,1458.8,1553.6,11,180.1,6.5,28.6
1990,6,1555.8,1568.1,1522.6,1527.0,9,112.6,6.3,28.3
