,Kallang,Bishan,Bukit Batok,Yishun,Geylang,Hougang,Bedok,Sengkang,Tampines,Serangoon,Bukit Merah,Bukit Panjang,Woodlands,Jurong West,Toa Payoh,Choa Chu Kang,Sembawang,Novena,Ang Mo Kio,Pasir Ris,Clementi,Punggol,Jurong East,Rochor,Queenstown,Bukit Timah,Outram,Tanglin,Marine Parade,Western Water Catchment,Downtown Core,Changi
2016,548455.576819407,619704.9032258064,389537.7248764415,366488.8032608696,422740.45542168675,417727.6236138614,411916.92507492506,439877.16580310883,455816.2046296296,478913.9475218659,543723.4539249147,407861.5268456376,398878.9070397112,406894.9765172414,440505.26423690206,393248.75440806046,409456.3069767442,427218.93577981653,418869.82930107525,477869.65310492506,441707.5882352941,452439.3496756757,426291.26744186046,453493.0,552768.8797953965,690212.2,715533.8252427184,546000.0,506707.3777777778,,645000.0,297500.0
2012,468181.9937694704,569688.9229268292,429889.467032967,398185.642115203,418027.52060737525,460837.2324969549,438947.2492431887,515211.48764769064,480469.2741116751,495592.63714285713,546177.3888,463366.59821428574,432114.0491170431,447510.9351432881,473302.76300578035,463249.4465317139,475106.1679389313,474965.8769230769,423318.8203125,525129.1974637681,451595.30348258704,531170.1121673004,421871.81066666666,475240.8163265306,499158.0611820331,646025.8064516129,494498.17647058825,673333.3333333334,551891.0175438597,427500.0,601500.0,318400.0
2013,496952.51971326163,604175.3943089431,434943.6067193676,403433.6785714286,427073.4795180723,472421.00581395347,445205.3832599119,529155.9833759591,490965.4360400445,496855.1712328767,575959.6308243728,474905.8395989975,448106.05453020136,452621.4527802295,494153.8942731278,474482.99574468087,486034.17793594307,469400.05454545456,433081.10256410256,530571.9316628701,477525.6705882353,534748.4710144928,454046.97037151706,493557.04,512396.872972973,662306.4827586206,435633.6875,850000.0,573240.7529411765,,616500.0,307250.0
2017,521748.86440677964,661245.3305555555,377094.6974789916,354575.59803921566,427908.9208791209,425417.0185305106,419316.44188481674,432402.7827835881,474399.2913907285,492783.3951367781,561324.6303225807,431000.3752244165,389415.04711616575,396498.3937547601,516433.6672077922,388911.4028213166,391107.30046948354,431021.2173913043,423005.40366972476,485812.612704918,475640.2712328767,451949.95142590866,417183.66,447299.75,561212.8815454545,705702.8571428572,716878.88,720000.0,511761.2244897959,375000.0,592857.1428571428,296833.3333333333
2018,508836.097826087,651508.1604938272,372023.20407407405,352902.85406922357,451673.7231182796,438231.79567307694,416170.486631016,426760.5893588799,484058.95350877196,494146.33591731265,560683.3024602026,428756.02345058625,372212.6078717201,382066.45475113124,518604.07508532424,378601.50393700786,378630.3226495726,407022.6349206349,423281.552238806,499231.2560483871,480326.4071246819,450940.2195318806,430383.6527093596,423517.07692307694,564831.1693548387,739470.5660377359,751290.0210526315,876500.0,527250.9902912622,464333.3333333333,650333.3333333334,308333.3333333333
2020,493939.16932907345,628877.4681440443,403212.59010600706,382270.48129496403,433518.2974828375,456597.0782013685,410286.55545023695,453936.10047244094,481093.5622188906,485720.73170731706,563032.4220472442,438135.6339092873,400238.0569122807,412270.2463891249,448656.1361940298,408845.6458616011,399040.4738292011,449334.35619047616,411312.499378882,503184.8370702541,491143.32765957445,468283.70192995,417864.1725888325,465754.32727272727,580570.8471485943,679050.9444444445,710581.1282051282,850000.0,486928.11881188117,387000.0,672500.0,281950.0
2014,471441.3154121864,570345.3793103448,404877.97475728154,366761.28646379855,405564.8257372654,438270.80030257185,418223.0947603122,478931.83570504526,470360.7673975215,476532.13986013987,538380.1443478261,436467.19134396355,415032.35551142006,420316.2582720588,432643.4621026895,424607.3871186441,430506.2101910828,424567.19999999995,412174.6687598116,499904.3574879227,445502.7816455696,477563.1395348837,418615.5627009646,462234.8108108108,517732.9109972299,610925.0,443396.0612244898,870000.0,516986.8938053097,403500.0,677500.0,292500.0
2015,478850.45922807016,582838.274590164,390557.07768595044,362439.44202898553,421176.44,424169.30026455026,401781.0497925311,444776.67978723405,450311.74859287054,466806.87925696594,534042.5854616896,412646.712945591,395006.0562372188,404586.72407883464,437411.9095022624,399785.7027863777,412393.51715686277,435664.1176470588,398049.0671428571,476767.4430641822,444062.4510309278,445327.49323017406,422125.54407294834,436457.5789473684,529235.5,739191.04,788288.7943262411,631666.6666666666,560134.25,500000.0,490000.0,281250.0
2019,527302.3333333334,629518.9230769231,376671.2263888889,373182.4972972973,420906.072234763,420610.5491905355,396762.85122210416,440976.2438853948,464650.15936952713,486748.6685393258,553924.0414285715,426121.68400520156,372470.098630137,387534.3335771763,463284.9735915493,387102.2727272727,370133.2969142857,453887.9387755102,383561.47043701797,500289.6277056277,452499.33591731265,461993.1875,408034.4578313253,468937.69696969696,546559.6471861472,721190.551724138,683752.011235955,676250.0,484068.1212121212,476000.0,659177.6,261250.0
2021,538635.2432432432,638492.2857142857,435857.04918032786,417256.8672985782,485807.4666666667,489380.04941860464,459378.5408163265,470675.2861896839,498472.26848249027,527147.2755905512,577939.7326007326,475053.01694444445,424144.86,433226.4896907217,526456.1702127659,451317.5642023346,429795.28695652174,468735.6595744681,423755.7288732394,545326.0210084034,533834.5408805031,488663.50328671327,480776.1641791045,463466.56,626481.8812785388,789942.8571428572,763941.4736842106,601333.3333333334,522372.4318181818,,475000.0,287500.0
